dataset	path	method	display_method	impute_seed	status	error	impute_runtime_sec	n_cells	n_genes	n_labels	n_batches	label_column	batch_column	feature_mode	n_seeds_requested	source_note
Baron	datasets_original/baron-human.rds	alra	ALRA	46	ok		0.36928889295086265	8569	1000	14	4	cell_type1	human	label_free_hvg	5	SingleCellExperiment original matrix
Baron	datasets_original/baron-human.rds	magic	MAGIC	42	ok		1.5790053829550743	8569	1000	14	4	cell_type1	human	label_free_hvg	5	SingleCellExperiment original matrix
Baron	datasets_original/baron-human.rds	maskimpute	MaskImpute	42	ok		246.12127775209956	8569	1000	14	4	cell_type1	human	label_free_hvg	5	SingleCellExperiment original matrix
Baron	datasets_original/baron-human.rds	maskimpute	MaskImpute	43	ok		242.80792952189222	8569	1000	14	4	cell_type1	human	label_free_hvg	5	SingleCellExperiment original matrix
Baron	datasets_original/baron-human.rds	maskimpute	MaskImpute	44	ok		239.87786369095556	8569	1000	14	4	cell_type1	human	label_free_hvg	5	SingleCellExperiment original matrix
Baron	datasets_original/baron-human.rds	maskimpute	MaskImpute	45	ok		243.45154469413683	8569	1000	14	4	cell_type1	human	label_free_hvg	5	SingleCellExperiment original matrix
Baron	datasets_original/baron-human.rds	maskimpute	MaskImpute	46	ok		243.849532879889	8569	1000	14	4	cell_type1	human	label_free_hvg	5	SingleCellExperiment original matrix
Zeisel	datasets_original/zeisel.rds	baseline	Observed	42	ok		8.500181138515472e-06	3005	1000	9	76	cell_type1	cell_id_prefix	label_free_hvg	5	SingleCellExperiment original matrix
Zeisel	datasets_original/zeisel.rds	dca	DCA	42	ok		37.822109050815925	3005	1000	9	76	cell_type1	cell_id_prefix	label_free_hvg	5	SingleCellExperiment original matrix
Zeisel	datasets_original/zeisel.rds	scvi	scVI	42	ok		69.11395132401958	3005	1000	9	76	cell_type1	cell_id_prefix	label_free_hvg	5	SingleCellExperiment original matrix
Zeisel	datasets_original/zeisel.rds	scvi	scVI	43	ok		31.24659124086611	3005	1000	9	76	cell_type1	cell_id_prefix	label_free_hvg	5	SingleCellExperiment original matrix
Zeisel	datasets_original/zeisel.rds	scvi	scVI	44	ok		31.118083788082004	3005	1000	9	76	cell_type1	cell_id_prefix	label_free_hvg	5	SingleCellExperiment original matrix
Zeisel	datasets_original/zeisel.rds	scvi	scVI	45	ok		30.5441661758814	3005	1000	9	76	cell_type1	cell_id_prefix	label_free_hvg	5	SingleCellExperiment original matrix
Zeisel	datasets_original/zeisel.rds	scvi	scVI	46	ok		29.93953814706765	3005	1000	9	76	cell_type1	cell_id_prefix	label_free_hvg	5	SingleCellExperiment original matrix
Zeisel	datasets_original/zeisel.rds	alra	ALRA	42	ok		0.2590066818520427	3005	1000	9	76	cell_type1	cell_id_prefix	label_free_hvg	5	SingleCellExperiment original matrix
Zeisel	datasets_original/zeisel.rds	alra	ALRA	43	ok		0.23800905398093164	3005	1000	9	76	cell_type1	cell_id_prefix	label_free_hvg	5	SingleCellExperiment original matrix
Zeisel	datasets_original/zeisel.rds	alra	ALRA	44	ok		0.2496643711347133	3005	1000	9	76	cell_type1	cell_id_prefix	label_free_hvg	5	SingleCellExperiment original matrix
Zeisel	datasets_original/zeisel.rds	alra	ALRA	45	ok		0.2333652968518436	3005	1000	9	76	cell_type1	cell_id_prefix	label_free_hvg	5	SingleCellExperiment original matrix
Zeisel	datasets_original/zeisel.rds	alra	ALRA	46	ok		0.1875102799385786	3005	1000	9	76	cell_type1	cell_id_prefix	label_free_hvg	5	SingleCellExperiment original matrix
Zeisel	datasets_original/zeisel.rds	magic	MAGIC	42	ok		0.5675578368827701	3005	1000	9	76	cell_type1	cell_id_prefix	label_free_hvg	5	SingleCellExperiment original matrix
