config_id	objective	avg_mse_biozero	avg_mse	thr_drop	disp_mode	disp_const	use_cell_factor	tau_dispersion	tau_group_dispersion	tau_dropout	p_zero	p_nz	noise_min	noise_max	hidden	bottleneck	dropout	use_residual	epochs	batch_size	lr	weight_decay	loss_bio_weight	loss_nz_weight	recon_weight	p_low	p_high	post_threshold	post_threshold_scale	post_threshold_gamma	post_gene_quantile	post_gene_scale	keep_positive	hard_zero_bio	oracle_bio	blend_alpha	blend_gamma	p_bio_temp	p_bio_bias	ae_bio_weight	ae_bio_temp	ae_bio_quantile	ae_bio_union	gene_boost	gene_boost_gamma	gene_nz_boost	gene_nz_boost_gamma	gene_nz_mix	gene_nz_mix_gamma	cell_zero_weight	cluster_weight	cluster_gamma	cluster_k	cluster_pcs	shrink_alpha	shrink_gamma	clip_negative
33	4.192670041322708	0.06437328457832336	6.880494594573975	0.7	estimate	0.4	True	20.0	50.0	50.0	0.1	0.4	0.05	0.25	128,64	64	0.2	False	120	128	0.002	0.0	1.0	2.0	0.2	0.5	99.5	0.25	0.0	1.0	0.1	1.0	False	True	False	0.6	4.0	1.2	0.5	0.9	0.05	0.3	False	0.3	2.0	0.2	2.0	0.6	1.0	0.6	0.0	1.0	2	10	0.0	2.0	True
34	5.284564018249512	0.0	8.80760669708252	0.75	estimate	0.4	True	20.0	50.0	50.0	0.1	0.4	0.05	0.5	128,64	64	0.2	True	120	128	0.002	0.0001	2.0	2.0	0.2	1.0	99.5	0.0	0.0	1.0	0.1	1.0	False	True	False	0.6	4.0	1.2	0.5	0.9	0.1	0.3	False	0.3	2.0	0.2	2.0	0.6	1.0	0.6	0.0	1.0	2	10	0.0	2.0	True
35	4.401572513580322	0.0	7.335954189300537	0.75	estimate	0.4	True	20.0	50.0	50.0	0.1	0.4	0.05	0.5	64	64	0.1	True	120	128	0.002	0.0	1.0	2.0	0.2	1.0	99.5	0.25	1.0	2.0	0.1	1.0	True	False	False	0.3	4.0	1.0	0.5	0.6	0.1	0.5	True	0.3	2.0	0.2	2.0	0.6	1.0	0.6	0.0	1.0	2	10	0.0	2.0	True
36	4.23591865436174	0.0012499226722866297	7.057781219482422	0.75	estimate	0.4	True	20.0	50.0	50.0	0.1	0.4	0.05	0.25	64	64	0.2	False	120	128	0.002	0.0	2.0	2.0	0.2	0.5	99.5	0.25	1.0	1.0	0.1	1.0	True	True	False	0.3	4.0	1.0	0.5	0.9	0.1	0.3	False	0.3	2.0	0.2	2.0	0.6	1.0	0.6	0.0	1.0	2	10	0.0	4.0	True
37	4.623062324523926	0.0	7.705103874206543	0.7	estimate	0.4	True	20.0	50.0	50.0	0.1	0.4	0.05	0.25	64	64	0.2	False	120	128	0.002	0.0	2.0	1.0	0.2	0.5	99.0	0.25	0.0	2.0	0.1	1.0	False	True	False	0.3	4.0	1.2	0.5	0.6	0.1	0.7	True	0.3	2.0	0.2	2.0	0.6	1.0	0.6	0.0	1.0	2	10	0.0	2.0	True
38	4.3816835403442385	0.0	7.3028059005737305	0.75	estimate	0.4	True	20.0	50.0	50.0	0.1	0.4	0.05	0.25	128,64	64	0.2	False	120	128	0.002	0.0	2.0	1.0	0.2	0.5	99.0	0.0	1.0	1.0	0.1	1.0	True	False	False	0.6	4.0	1.2	0.5	0.9	0.1	0.5	False	0.3	2.0	0.2	2.0	0.6	1.0	0.6	0.0	1.0	2	10	0.5	2.0	True
39	4.401572513580322	0.0	7.335954189300537	0.7	estimate	0.4	True	20.0	50.0	50.0	0.1	0.4	0.05	0.5	64	64	0.2	True	120	128	0.002	0.0	2.0	2.0	0.2	1.0	99.0	0.25	1.0	2.0	0.3	1.5	True	False	False	0.6	4.0	1.2	0.5	0.9	0.1	0.3	False	0.3	2.0	0.2	2.0	0.6	1.0	0.6	0.0	1.0	2	10	0.0	2.0	True
40	5.3330646514892575	0.0	8.88844108581543	0.75	estimate	0.4	True	20.0	50.0	50.0	0.1	0.4	0.05	0.5	64	64	0.1	True	120	128	0.002	0.0	1.0	1.0	0.2	1.0	99.5	0.25	0.0	1.0	0.1	1.5	False	False	False	0.3	4.0	1.2	0.0	0.6	0.1	0.7	True	0.3	2.0	0.2	2.0	0.6	1.0	0.6	0.0	1.0	2	10	0.0	4.0	True
41	4.096188846230507	0.06731177866458893	6.714795112609863	0.75	estimate	0.4	True	20.0	50.0	50.0	0.1	0.4	0.05	0.5	64	64	0.1	False	120	128	0.002	0.0	1.0	2.0	0.2	1.0	99.0	0.25	1.0	2.0	0.3	1.0	True	False	False	0.6	4.0	1.0	0.0	0.9	0.1	0.3	False	0.3	2.0	0.2	2.0	0.6	1.0	0.6	0.0	1.0	2	10	0.5	2.0	True
42	4.401572513580322	0.0	7.335954189300537	0.75	estimate	0.4	True	20.0	50.0	50.0	0.1	0.4	0.05	0.5	64	64	0.1	False	120	128	0.002	0.0	2.0	2.0	0.2	0.5	99.0	0.25	0.0	1.0	0.3	1.5	True	True	False	0.6	4.0	1.0	0.5	0.9	0.1	0.5	True	0.3	2.0	0.2	2.0	0.6	1.0	0.6	0.0	1.0	2	10	0.5	2.0	True
43	4.049709606170654	0.0	6.749516010284424	0.75	estimate	0.4	True	20.0	50.0	50.0	0.1	0.4	0.05	0.25	64	64	0.1	False	120	128	0.002	0.0001	1.0	1.0	0.2	0.5	99.0	0.25	0.0	1.0	0.1	1.0	True	True	False	0.3	4.0	1.2	0.0	0.6	0.05	0.3	True	0.3	2.0	0.2	2.0	0.6	1.0	0.6	0.0	1.0	2	10	0.5	4.0	True
44	4.401572513580322	0.0	7.335954189300537	0.75	estimate	0.4	True	20.0	50.0	50.0	0.1	0.4	0.05	0.25	64	64	0.1	True	120	128	0.002	0.0	2.0	2.0	0.2	1.0	99.5	0.25	1.0	1.0	0.3	1.5	True	True	False	0.3	4.0	1.2	0.0	0.9	0.1	0.7	True	0.3	2.0	0.2	2.0	0.6	1.0	0.6	0.0	1.0	2	10	0.5	4.0	True
45	4.320944023132324	0.0	7.201573371887207	0.7	estimate	0.4	True	20.0	50.0	50.0	0.1	0.4	0.05	0.25	128,64	64	0.2	False	120	128	0.002	0.0001	1.0	2.0	0.2	0.5	99.5	0.0	1.0	1.0	0.3	1.0	False	True	False	0.3	4.0	1.2	0.5	0.9	0.05	0.3	True	0.3	2.0	0.2	2.0	0.6	1.0	0.6	0.0	1.0	2	10	0.5	4.0	True
46	5.357490348815918	0.0	8.929150581359863	0.75	estimate	0.4	True	20.0	50.0	50.0	0.1	0.4	0.05	0.5	64	64	0.1	True	120	128	0.002	0.0	1.0	1.0	0.2	0.5	99.0	0.25	2.0	2.0	0.2	1.0	False	False	False	0.6	4.0	1.2	0.0	0.6	0.05	0.3	False	0.3	2.0	0.2	2.0	0.6	1.0	0.6	0.0	1.0	2	10	0.5	4.0	True
47	4.401572513580322	0.0	7.335954189300537	0.75	estimate	0.4	True	20.0	50.0	50.0	0.1	0.4	0.05	0.5	128,64	64	0.2	False	120	128	0.002	0.0	2.0	2.0	0.2	1.0	99.5	0.25	2.0	1.0	0.3	1.5	True	False	False	0.6	4.0	1.0	0.0	0.9	0.1	0.7	True	0.3	2.0	0.2	2.0	0.6	1.0	0.6	0.0	1.0	2	10	0.5	4.0	True
48	5.306944084167481	0.0	8.8449068069458	0.75	estimate	0.4	True	20.0	50.0	50.0	0.1	0.4	0.05	0.5	64	64	0.2	True	120	128	0.002	0.0001	1.0	1.0	0.2	1.0	99.5	0.25	2.0	2.0	0.2	1.0	False	False	False	0.3	4.0	1.2	0.5	0.9	0.05	0.7	False	0.3	2.0	0.2	2.0	0.6	1.0	0.6	0.0	1.0	2	10	0.5	2.0	True
