config_id	proxy_mix	proxy_drop_gamma	proxy_drop_scale	calib_shrink	zero_iso_weight	dropout_iso_weight	constrained_zero_scale	p_bio_temp	p_bio_bias	thr_drop	avg_rmse	avg_bz_rmse	score
52	0.0	0.7	0.8	0.0	0.3	0.0	False	0.5	1.0	0.99	0.6755057573318481	1.0303315073251724	1.3680843859910965
76	0.0	0.7	0.8	0.0	0.3	0.3	False	0.5	1.0	0.99	0.6755057573318481	1.0303315073251724	1.3680843859910965
50	0.0	0.7	0.8	0.0	0.3	0.0	False	0.5	0.5	0.99	0.6758873909711838	1.0303377658128738	1.3682814612984657
74	0.0	0.7	0.8	0.0	0.3	0.3	False	0.5	0.5	0.99	0.6758873909711838	1.0303377658128738	1.3682814612984657
4	0.0	0.7	0.8	0.0	0.0	0.0	False	0.5	1.0	0.99	0.6769066452980042	1.030332013964653	1.368785336613655
28	0.0	0.7	0.8	0.0	0.0	0.3	False	0.5	1.0	0.99	0.6769066452980042	1.030332013964653	1.368785336613655
2	0.0	0.7	0.8	0.0	0.0	0.0	False	0.5	0.5	0.99	0.677580937743187	1.030342385172844	1.3691328540444374
26	0.0	0.7	0.8	0.0	0.0	0.3	False	0.5	0.5	0.99	0.677580937743187	1.030342385172844	1.3691328540444374
51	0.0	0.7	0.8	0.0	0.3	0.0	False	0.5	1.0	0.95	0.6777349412441254	1.0303891450166702	1.369256615638733
75	0.0	0.7	0.8	0.0	0.3	0.3	False	0.5	1.0	0.95	0.6777349412441254	1.0303891450166702	1.369256615638733
49	0.0	0.7	0.8	0.0	0.3	0.0	False	0.5	0.5	0.95	0.6785272508859634	1.0304107666015625	1.3696743920445442
73	0.0	0.7	0.8	0.0	0.3	0.3	False	0.5	0.5	0.95	0.6785272508859634	1.0304107666015625	1.3696743920445442
3	0.0	0.7	0.8	0.0	0.0	0.0	False	0.5	1.0	0.95	0.6803050637245178	1.030393734574318	1.3705462664365768
27	0.0	0.7	0.8	0.0	0.0	0.3	False	0.5	1.0	0.95	0.6803050637245178	1.030393734574318	1.3705462664365768
56	0.0	0.7	0.8	0.0	0.3	0.0	False	1.0	1.0	0.99	0.6802376806735992	1.0305895656347275	1.370708405971527
80	0.0	0.7	0.8	0.0	0.3	0.3	False	1.0	1.0	0.99	0.6802376806735992	1.0305895656347275	1.370708405971527
1	0.0	0.7	0.8	0.0	0.0	0.0	False	0.5	0.5	0.95	0.6816253513097763	1.0304386466741562	1.3712513223290443
25	0.0	0.7	0.8	0.0	0.0	0.3	False	0.5	0.5	0.95	0.6816253513097763	1.0304386466741562	1.3712513223290443
54	0.0	0.7	0.8	0.0	0.3	0.0	False	1.0	0.5	0.99	0.6811218410730362	1.0313460677862167	1.3719069883227348
78	0.0	0.7	0.8	0.0	0.3	0.3	False	1.0	0.5	0.99	0.6811218410730362	1.0313460677862167	1.3719069883227348
8	0.0	0.7	0.8	0.0	0.0	0.0	False	1.0	1.0	0.99	0.6842650026082993	1.0307756662368774	1.372908167541027
32	0.0	0.7	0.8	0.0	0.0	0.3	False	1.0	1.0	0.99	0.6842650026082993	1.0307756662368774	1.372908167541027
55	0.0	0.7	0.8	0.0	0.3	0.0	False	1.0	1.0	0.95	0.6824061125516891	1.0327589511871338	1.3739620074629784
