iter	score	ok	ARI	NMI	PS	ASW	hidden	bottleneck	batch_size	lr	epochs	p_zero	p_nz	noise_max	loss_bio_weight	loss_nz_weight	weight_decay	activation	dropout	layer_norm	residual
64	3.9452799999999995	False	0.8436199999999999	0.87782	0.9274799999999999	0.45274000000000003	[64]	128	8	0.001	300	0.0	0.2	0.3	2.0	2.0	0.0001	gelu	0.1	False	False
65	3.77956	False	0.7459800000000001	0.8037000000000001	0.8836600000000001	0.60024	[64]	32	128	0.0001	500	0.02	0.4	0.1	6.0	0.25	1e-05	gelu	0.05	True	False
66	4.1975999999999996	False	0.85524	0.8886	0.9319199999999999	0.6666	[128]	8	32	0.0001	400	0.02	0.4	0.2	4.0	1.0	0.0001	relu	0.05	True	True
67	3.992060000000001	False	0.826	0.8781599999999999	0.9311999999999999	0.5307000000000001	[256]	32	8	0.0002	400	0.05	0.3	0.1	6.0	1.0	0.001	relu	0.1	False	False
68	3.91432	False	0.8483599999999999	0.87948	0.9281600000000001	0.40996000000000005	[256, 256]	128	32	0.0005	400	0.01	0.4	0.1	1.0	1.0	0.001	gelu	0.05	True	False
69	4.20844	False	0.8684799999999999	0.8800399999999999	0.9189399999999999	0.6725	[32]	8	128	0.001	500	0.0	0.1	0.1	2.0	0.5	1e-05	silu	0.1	True	False
70	4.11826	False	0.85632	0.8965799999999999	0.9374800000000001	0.57156	[256, 128, 64]	128	8	0.0002	500	0.05	0.5	0.2	1.0	1.0	0.0	silu	0.1	False	False
71	4.0979399999999995	False	0.8356199999999999	0.8810400000000002	0.9328	0.6128600000000001	[128, 64]	16	32	0.001	200	0.1	0.3	0.3	2.0	0.5	0.001	relu	0.0	False	True
72	4.266260000000001	False	0.9116399999999999	0.9003399999999999	0.93172	0.61092	[256]	128	64	0.0001	200	0.05	0.2	0.3	2.0	0.5	0.0	relu	0.0	True	True
73	4.1751000000000005	False	0.85032	0.86814	0.9210199999999998	0.6853	[256, 256]	128	128	0.0002	200	0.1	0.5	0.4	4.0	0.25	0.0001	gelu	0.2	True	False
