seed	n_pcs	n_neighbors	resolution	n_clusters	ari	nmi	batch_ari	batch_nmi	batch_silhouette	cluster_runtime_sec	dataset	path	method	display_method	impute_seed	cluster_seed	label_column	batch_column	n_cells	n_genes	n_labels	n_batches	feature_mode
44	20	15	0.5	19	0.6417309032335246	0.8241231220744313	0.15683985924589341	0.24057482806572247	0.024557577446103096	0.38658828497864306	Baron	datasets_original/baron-human.rds	baseline	Observed	42	44	cell_type1	human	8569	1000	14	4	label_free_hvg
44	20	15	1.0	29	0.39648951861075166	0.7335896623685444	0.12051392487568005	0.2733926795228133	0.024557577446103096	0.3767150491476059	Baron	datasets_original/baron-human.rds	baseline	Observed	42	44	cell_type1	human	8569	1000	14	4	label_free_hvg
44	20	15	1.5	34	0.31154784737669633	0.6970049390362301	0.10156465883680846	0.27556902243394077	0.024557577446103096	0.37453948403708637	Baron	datasets_original/baron-human.rds	baseline	Observed	42	44	cell_type1	human	8569	1000	14	4	label_free_hvg
44	20	15	2.0	36	0.2966967215792492	0.6919382267673361	0.09274040159924013	0.26826041114638466	0.024557577446103096	0.37477028695866466	Baron	datasets_original/baron-human.rds	baseline	Observed	42	44	cell_type1	human	8569	1000	14	4	label_free_hvg
44	20	30	0.2	10	0.7974674323579065	0.8456664627142079	0.0921363001334514	0.13931760848150915	0.024557577446103096	0.6087502529844642	Baron	datasets_original/baron-human.rds	baseline	Observed	42	44	cell_type1	human	8569	1000	14	4	label_free_hvg
44	20	30	0.5	16	0.6462087932163194	0.819476239329917	0.1640637560882469	0.24632015657150794	0.024557577446103096	0.6030557339545339	Baron	datasets_original/baron-human.rds	baseline	Observed	42	44	cell_type1	human	8569	1000	14	4	label_free_hvg
44	20	30	1.0	21	0.5258529935332978	0.7715891311593407	0.16077973460647874	0.2677867142929597	0.024557577446103096	0.6078408898320049	Baron	datasets_original/baron-human.rds	baseline	Observed	42	44	cell_type1	human	8569	1000	14	4	label_free_hvg
44	20	30	1.5	26	0.35889034209312326	0.7153953458866863	0.10220945632133319	0.2671489868848495	0.024557577446103096	0.5903293881565332	Baron	datasets_original/baron-human.rds	baseline	Observed	42	44	cell_type1	human	8569	1000	14	4	label_free_hvg
44	20	30	2.0	30	0.3070227482091913	0.6924809822659144	0.09836534736291813	0.27385697964355316	0.024557577446103096	0.5921738930046558	Baron	datasets_original/baron-human.rds	baseline	Observed	42	44	cell_type1	human	8569	1000	14	4	label_free_hvg
44	50	10	0.2	15	0.7240535807634937	0.8516824134628908	0.14202490354608327	0.2185008263456962	0.02548915334045887	0.32014166098088026	Baron	datasets_original/baron-human.rds	baseline	Observed	42	44	cell_type1	human	8569	1000	14	4	label_free_hvg
44	50	10	0.5	21	0.5630532870358331	0.8002467639233274	0.1838833007711656	0.28283241995150543	0.02548915334045887	0.3172825649380684	Baron	datasets_original/baron-human.rds	baseline	Observed	42	44	cell_type1	human	8569	1000	14	4	label_free_hvg
