rank	run_id	ok	score	avg_mse	avg_bz_mse	runtime_sec	elapsed_wall_sec	gpu	epochs	lr	p_zero	p_nz	noise_max	loss_bio_weight	loss_nz_weight	bio_reg_weight	hidden	bottleneck	batch_size	weight_decay	activation	dropout	layer_norm	residual	WARMUP_REFINEMENT_FRACTION	POSTHOC_ZERO_SHRINK_SCALE	REFINED_PBIO_TRAIN_SCALE	simplicity_penalty	local_distance	error
31	r2_022	True	0.1441498505	0.2009292199	0.0436852405	276.272	294.035	1	420	0.0002	0.004	0.6	0.04	1.5	1.0	0.25	[64]	32	32	1e-05	relu	0.05	False	False	0.01	0.1	1.0	0.096000	2.000000	
13	r2_023	True	0.1424402249	0.1960570915	0.0444116792	287.346	309.036	4	420	0.0003	0.004	0.55	0.04	2.0	1.0	0.25	[64]	16	32	0.0	relu	0.05	False	False	0.0	0.1	1.0	0.080000	3.000000	
1	r2_026	True	0.1411812440	0.1923344514	0.0450140183	248.613	267.026	3	360	0.00025	0.004	0.55	0.04	2.0	1.0	0.25	[64]	16	32	3e-05	relu	0.05	False	False	0.0	0.1	1.0	0.080000	3.000000	
5	r2_024	True	0.1420674023	0.1941913825	0.0449717111	281.540	303.042	5	420	0.00025	0.004	0.55	0.02	2.0	1.0	0.25	[64]	16	32	1e-05	relu	0.05	False	False	0.02	0.1	1.0	0.080000	3.000000	
4	r2_025	True	0.1420367343	0.1932449100	0.0454142793	288.494	309.041	2	420	0.00025	0.004	0.55	0.04	1.5	1.0	0.25	[64]	16	32	1e-05	relu	0.05	False	False	0.0	0.1	1.0	0.080000	3.000000	
30	r2_027	True	0.1441491530	0.2022695083	0.0430143988	287.036	306.036	0	420	0.00025	0.004	0.55	0.02	2.5	1.0	0.25	[64]	32	32	1e-05	relu	0.05	False	False	0.02	0.1	1.0	0.096000	3.000000	
95	r2_028	True	0.1505253789	0.2177335402	0.0416586088	287.383	306.036	1	420	0.00025	0.004	0.55	0.02	2.0	1.0	0.25	[128]	32	32	1e-05	relu	0.05	False	False	0.0	0.1	1.0	0.160000	3.000000	
93	r2_029	True	0.1489691978	0.2139858122	0.0419762917	282.932	303.035	4	420	0.00025	0.004	0.55	0.04	2.0	1.0	0.25	[64]	48	32	0.0	relu	0.03	False	False	0.0	0.1	1.0	0.112000	3.000000	
86	r2_030	True	0.1464845060	0.2085159536	0.0422265292	281.524	303.031	3	420	0.0002	0.004	0.55	0.04	2.0	1.0	0.25	[64]	32	32	0.0	relu	0.03	False	False	0.02	0.1	1.0	0.096000	3.000000	
26	r2_031	True	0.1437901731	0.2008617509	0.0433592977	283.453	303.033	5	420	0.0002	0.004	0.6	0.06	2.0	1.0	0.25	[64]	32	32	1e-05	relu	0.05	False	False	0.02	0.1	0.9	0.096000	3.000000	
94	r2_032	True	0.1490202742	0.2147761102	0.0416322191	289.488	309.035	2	420	0.00025	0.004	0.6	0.06	2.0	1.0	0.25	[64]	48	32	1e-05	relu	0.03	False	False	0.0	0.1	1.0	0.112000	3.000000	
18	r2_033	True	0.1429120222	0.1957188913	0.0450525765	291.739	312.035	0	420	0.0002	0.004	0.6	0.04	2.0	1.0	0.25	[64]	32	32	0.0	relu	0.07	False	False	0.0	0.1	0.9	0.096000	3.000000	
17	r2_035	True	0.1428589408	0.1935890833	0.0460643992	260.461	279.029	4	360	0.00025	0.004	0.6	0.04	2.0	1.0	0.25	[64]	16	32	1e-05	relu	0.05	True	False	0.0	0.1	0.9	0.082000	3.500000	
85	r2_034	True	0.1464582487	0.1989722172	0.0469721401	321.551	342.041	1	420	0.00025	0.004	0.55	0.02	2.0	1.0	0.25	[64]	32	32	1e-05	relu	0.05	True	False	0.0	0.05	1.0	0.098000	3.500000	
32	r2_037	True	0.1441753100	0.2022032233	0.0430736983	241.683	261.028	5	360	0.00025	0.004	0.55	0.04	2.0	1.0	0.25	[64]	48	32	1e-05	relu	0.05	False	False	0.0	0.1	0.9	0.112000	4.000000	
60	r2_036	True	0.1448853492	0.2041066151	0.0428320416	290.166	312.039	3	420	0.0003	0.006	0.55	0.04	2.0	1.0	0.25	[64]	32	32	1e-05	relu	0.05	False	False	0.0	0.1	1.0	0.096000	4.000000	
2	r2_038	True	0.1413913012	0.1940547870	0.0443639078	291.118	312.037	2	420	0.0002	0.005	0.55	0.04	2.0	1.0	0.25	[64]	16	32	3e-05	relu	0.05	False	False	0.02	0.1	1.0	0.080000	4.000000	
88	r2_040	True	0.1470063773	0.2099885459	0.0420121043	280.849	300.032	4	420	0.0002	0.005	0.55	0.04	2.0	1.0	0.25	[96]	32	32	1e-05	relu	0.05	False	False	0.0	0.1	1.0	0.128000	4.000000	
12	r2_039	True	0.1423657651	0.1946710084	0.0450302609	329.556	348.047	0	420	0.00025	0.006	0.55	0.04	2.0	1.0	0.25	[96, 64]	32	32	1e-05	relu	0.05	False	False	0.0	0.1	1.0	0.193000	4.000000	
8	r2_041	True	0.1422004986	0.1965398169	0.0439305902	276.140	294.039	1	420	0.0003	0.006	0.6	0.04	2.0	1.0	0.25	[64]	16	32	3e-05	relu	0.05	False	False	0.0	0.1	1.0	0.080000	4.000000	
91	r2_042	True	0.1482970833	0.2147229715	0.0409355976	245.026	267.036	5	360	0.0003	0.004	0.6	0.04	2.0	1.0	0.25	[96]	32	32	1e-05	relu	0.05	False	False	0.0	0.15	1.0	0.128000	4.000000	
70	r2_043	True	0.1452825141	0.1998566286	0.0453541998	248.440	267.030	3	360	0.0003	0.004	0.6	0.04	2.0	1.0	0.25	[64]	48	32	1e-05	relu	0.05	False	False	0.0	0.05	1.0	0.112000	4.000000	
66	r2_044	True	0.1450554872	0.2051254534	0.0424927605	245.735	267.026	2	360	0.00025	0.003	0.55	0.04	2.0	1.0	0.25	[64]	32	32	3e-05	relu	0.03	False	False	0.0	0.1	1.0	0.096000	4.000000	
16	r2_046	True	0.1426914913	0.1995771550	0.0429029138	279.510	300.016	0	420	0.00015	0.004	0.55	0.02	2.0	1.0	0.25	[64]	32	32	1e-05	relu	0.05	False	False	0.0	0.1	1.0	0.096000	4.000000	
96	r2_047	True	0.1533717166	0.2260796554	0.0403318889	283.208	303.014	1	420	0.00025	0.004	0.6	0.06	1.5	1.0	0.25	[128]	48	32	3e-05	relu	0.05	False	False	0.0	0.1	1.0	0.176000	4.000000	
50	r2_045	True	0.1445533083	0.2006628364	0.0442218901	322.129	342.023	4	480	0.00025	0.004	0.55	0.04	2.0	1.0	0.25	[64]	48	32	1e-05	relu	0.07	False	False	0.0	0.1	1.0	0.112000	4.000000	
